Index;Region;Role;RoleStartDate;RoleEndDate;Status
1;137;1;14/01/2000;03/03/2019;resigned
2;186;2;13/06/2022;12/01/2024;actual
3;180;2;06/09/2022;07/01/2024;actual
4;226;5;04/05/1988;12/03/1994;resigned
5;120;6;02/07/2007;04/06/2019;resigned
6;100;8;03/12/2022;15/11/2024;actual
7;231;5;12/08/2013;05/09/2022;resigned
8;117;2;10/11/2005;13/06/2006;resigned
9;131;7;06/12/2015;08/08/2018;resigned
10;113;3;09/03/2022;06/06/2024;actual
11;131;9;10/07/2020;13/05/2022;resigned
12;238;8;08/04/2021;02/08/2024;actual
13;120;9;05/04/2019;05/01/2020;resigned
14;13;6;02/09/2003;06/04/2018;resigned
15;54;8;12/05/1993;15/04/2012;resigned
16;203;7;07/11/2012;08/09/2015;resigned
17;14;2;14/09/2007;15/11/2013;resigned
18;216;3;06/11/2004;01/06/2012;resigned
19;96;2;09/05/1991;07/12/1998;resigned
20;151;6;11/04/1996;02/03/2011;resigned
21;160;9;08/01/2022;13/07/2024;actual
22;142;4;06/03/2008;08/09/2018;resigned
23;54;4;13/09/2011;06/08/2020;resigned
24;155;1;12/04/2022;01/08/2024;actual
25;105;7;03/10/2022;03/08/2024;actual
26;21;8;01/05/2017;06/10/2021;resigned
27;230;1;01/02/2007;09/06/2021;resigned
28;218;3;08/01/2018;14/08/2022;resigned
29;209;5;10/03/2004;13/07/2007;resigned
30;57;3;05/05/2022;12/03/2024;actual
31;7;6;07/07/2007;15/10/2014;resigned
32;237;1;04/10/2022;14/07/2024;actual
33;77;2;02/04/2018;04/03/2019;resigned
34;46;4;02/05/2006;10/12/2020;resigned
35;122;4;07/10/2017;01/01/2024;actual
36;225;4;04/12/2016;01/04/2022;resigned
37;26;5;01/01/2015;13/07/2016;resigned
38;137;9;06/12/2010;13/09/2015;resigned
39;122;5;09/07/2006;14/04/2015;resigned
40;48;5;11/09/2022;11/11/2024;actual
41;122;8;04/05/2008;04/04/2012;resigned
42;24;5;05/05/2015;09/08/2022;resigned
43;222;2;11/05/2002;10/10/2007;resigned
44;28;3;11/09/2012;12/07/2015;resigned
45;140;8;09/05/2014;02/02/2020;resigned
46;184;1;15/08/2018;01/09/2022;resigned
47;161;8;14/03/2022;06/05/2024;actual
48;212;7;08/07/2021;04/02/2022;resigned
49;85;8;11/11/2022;04/10/2024;actual
50;21;1;10/05/2017;06/10/2019;resigned
51;76;5;03/01/2022;03/05/2024;actual
52;40;9;03/08/2011;10/07/2016;resigned
53;99;1;01/10/2010;04/12/2013;resigned
54;11;3;02/02/1997;05/07/2017;resigned
55;82;2;04/02/2012;05/12/2021;resigned
56;191;4;01/05/2019;10/11/2021;resigned
57;196;3;04/12/2009;01/10/2014;resigned
58;87;1;10/09/2018;08/06/2021;resigned
59;167;7;02/07/2022;03/02/2024;actual
60;225;1;13/11/2019;02/04/2024;actual
61;222;1;10/04/1995;07/07/2019;resigned
62;210;5;01/06/2009;04/02/2014;resigned
63;105;3;06/02/1994;13/06/2009;resigned
64;166;9;12/05/2009;01/08/2014;resigned
65;117;7;08/03/2004;12/02/2011;resigned
66;19;5;08/09/2022;13/02/2024;actual
67;144;5;14/11/2022;11/08/2024;actual
68;243;1;11/03/2015;07/12/2020;resigned
69;4;1;12/03/2008;14/02/2024;actual
70;96;9;13/06/2022;02/03/2024;actual
71;200;2;03/09/1996;12/11/2004;resigned
72;130;9;04/01/2013;10/08/2019;resigned
73;157;6;03/03/2014;04/01/2022;resigned
74;117;8;02/01/2022;01/10/2024;actual
75;72;8;15/01/2017;05/12/2018;resigned
76;205;1;07/06/2000;09/01/2003;resigned
77;57;7;07/03/2017;14/02/2018;resigned
78;207;3;07/12/2013;10/08/2017;resigned
79;58;8;05/07/1998;15/08/2017;resigned
80;124;2;10/12/2014;10/05/2021;resigned
81;89;4;15/06/2007;13/05/2008;resigned
82;157;4;13/05/2022;06/03/2024;actual
83;206;1;13/01/2022;06/05/2024;actual
84;180;6;13/06/2021;05/04/2024;actual
85;115;7;09/06/2004;05/08/2015;resigned
86;37;6;06/04/2021;09/07/2022;resigned
87;146;9;09/11/2019;12/02/2020;resigned
88;229;4;05/05/2015;02/10/2022;resigned
89;22;5;04/01/2013;03/04/2018;resigned
90;140;9;13/02/2019;11/07/2022;resigned
91;233;5;02/04/2002;15/02/2021;resigned
92;187;6;13/07/2021;11/10/2022;resigned
93;22;7;01/02/2003;15/03/2017;resigned
94;5;1;04/02/2005;11/01/2024;actual
95;21;1;10/01/2014;09/05/2015;resigned
96;140;8;10/08/2022;09/12/2024;actual
97;236;9;12/12/2021;15/02/2024;actual
98;233;2;12/06/2018;06/05/2020;resigned
99;82;3;03/01/2021;13/05/2024;actual
100;122;7;10/06/2017;03/11/2022;resigned
101;228;6;13/08/1998;15/06/2014;resigned
102;184;2;09/08/1997;14/03/2000;resigned
103;78;3;06/09/1991;14/01/2002;resigned
104;127;9;09/03/2021;03/01/2022;resigned
105;216;8;14/08/2018;01/10/2020;resigned
106;7;4;15/06/2021;13/04/2024;actual
107;55;3;07/07/2019;10/05/2024;actual
108;69;2;12/11/2021;10/12/2022;resigned
109;37;2;01/12/2021;10/07/2022;resigned
110;38;4;12/03/1996;07/05/2013;resigned
111;37;4;13/06/2022;15/04/2024;actual
112;212;7;13/09/2022;11/06/2024;actual
113;215;2;08/02/2005;08/11/2016;resigned
114;249;7;04/07/1999;08/02/2007;resigned
115;207;3;13/05/2022;01/02/2024;actual
116;110;8;13/11/2014;10/08/2015;resigned
117;40;3;07/05/2022;08/11/2024;actual
118;127;7;11/10/2017;09/06/2019;resigned
119;109;9;12/07/2005;10/07/2011;resigned
120;47;4;13/11/2013;07/10/2024;actual
121;13;2;03/07/2019;05/04/2022;resigned
122;37;3;07/09/1999;05/11/2004;resigned
123;178;9;12/02/2022;01/01/2024;actual
124;163;7;06/06/2012;05/04/2013;resigned
125;144;3;11/05/2010;13/10/2016;resigned
126;22;8;02/03/2019;05/01/2020;resigned
127;238;2;03/03/2020;06/04/2021;resigned
128;13;1;13/11/2020;14/04/2022;resigned
129;148;1;02/05/2022;11/06/2024;actual
130;15;5;05/04/2007;12/09/2012;resigned
131;169;1;02/11/2008;07/11/2010;resigned
132;117;6;06/05/2021;11/12/2022;resigned
133;100;9;05/10/1988;04/05/2003;resigned
134;152;8;14/04/1991;05/10/1999;resigned
135;91;2;02/10/2009;03/04/2013;resigned
136;204;2;09/11/1989;04/11/2011;resigned
137;195;1;15/06/2019;06/05/2020;resigned
138;235;4;03/04/2014;03/01/2015;resigned
139;203;6;02/06/2003;15/10/2024;actual
140;40;5;03/05/2022;07/03/2024;actual
141;124;1;04/03/2015;05/04/2020;resigned
142;194;5;05/09/2006;01/06/2022;resigned
143;60;3;08/04/2020;04/01/2022;resigned
144;85;1;06/10/2022;13/12/2024;actual
145;7;3;01/04/1997;03/08/2017;resigned
146;186;5;03/09/1991;06/12/2001;resigned
147;71;5;04/02/2017;04/07/2021;resigned
148;183;2;11/02/2015;15/06/2024;actual
149;62;3;06/08/2016;09/09/2018;resigned
150;219;7;06/06/2021;05/08/2022;resigned
151;91;6;14/03/2014;02/10/2019;resigned
152;229;8;09/09/2005;14/08/2009;resigned
153;135;4;05/11/2018;12/06/2024;actual
154;67;2;12/03/2000;14/05/2018;resigned
