PersonID;CourseID;CourseStartDate;Percentuale completamento
1;486;13/09/2009;0,46
2;347;18/06/2022;0,15
3;56;20/07/2023;0,84
4;142;15/03/1993;0,90
5;392;28/10/2011;0,34
6;518;22/01/2023;0,21
7;612;13/10/2018;0,33
8;171;07/02/2006;0,74
9;603;02/08/2017;0,94
10;259;04/10/2023;0,23
11;518;09/08/2020;0,35
12;200;01/08/2023;0,76
13;445;03/06/2019;0,24
14;290;19/07/2004;0,21
15;406;28/12/1995;0,41
16;338;23/10/2014;0,13
17;463;03/11/2009;0,07
18;441;12/10/2009;0,02
19;10;22/10/1994;0,69
20;359;02/01/2001;0,06
21;133;19/03/2023;0,47
22;353;28/02/2010;0,28
23;417;16/02/2015;0,50
24;280;06/05/2023;0,28
25;319;03/11/2022;0,78
26;320;06/02/2021;0,45
27;473;20/06/2011;0,41
28;521;09/06/2022;0,86
29;405;15/06/2005;0,09
30;405;12/10/2022;0,64
31;176;13/06/2013;0,96
32;240;12/02/2023;0,47
33;537;15/05/2018;0,09
34;598;20/07/2007;0,45
35;282;25/05/2023;0,34
36;326;28/04/2019;0,11
37;550;21/08/2015;0,97
38;554;28/07/2011;0,46
39;483;17/09/2007;0,06
40;118;27/07/2024;0,17
41;478;25/02/2009;0,64
42;265;09/01/2016;0,80
43;193;25/01/2007;0,69
44;162;15/01/2015;0,13
45;625;15/06/2019;0,29
46;280;28/02/2021;0,08
47;620;16/12/2022;0,22
48;70;16/10/2021;0,05
49;614;11/10/2023;0,11
50;305;09/10/2017;0,68
51;442;24/11/2022;0,76
52;328;11/01/2015;0,52
53;319;15/02/2011;0,60
54;178;28/12/2010;0,75
55;28;19/06/2015;0,12
56;413;13/05/2019;0,02
57;570;30/05/2014;0,54
58;117;06/07/2020;0,95
59;518;27/11/2022;0,18
60;195;26/02/2023;0,89
61;2;09/01/1997;0,82
62;93;11/07/2009;0,87
63;41;20/11/2006;0,31
64;567;15/08/2010;0,62
65;328;26/09/2004;0,04
66;43;08/02/2024;0,42
67;190;20/12/2022;0,49
68;592;05/09/2018;0,65
69;405;05/05/2015;0,53
70;480;27/08/2022;0,74
71;285;28/04/2001;0,06
72;163;12/01/2016;0,19
73;193;17/08/2014;0,61
74;71;27/05/2023;0,86
75;298;10/02/2017;0,09
76;613;01/03/2002;0,87
77;73;15/11/2017;0,91
78;49;06/01/2014;0,24
79;328;22/10/2011;0,62
80;356;30/09/2016;0,46
81;162;14/01/2008;0,94
82;347;20/01/2023;0,11
83;113;19/05/2022;0,59
84;130;28/01/2024;0,46
85;118;13/01/2005;0,85
86;248;01/07/2021;0,67
87;550;21/01/2020;0,12
88;544;12/10/2016;0,78
89;397;05/05/2014;0,40
90;441;12/12/2019;0,15
91;328;14/01/2004;0,36
92;172;09/01/2022;0,84
93;581;09/11/2015;0,75
94;287;07/08/2008;0,01
95;583;20/03/2014;0,12
96;134;29/08/2024;0,86
97;297;12/09/2022;0,24
98;471;15/06/2018;0,22
99;114;10/10/2022;0,91
100;407;30/11/2020;0,71
101;98;08/06/2010;0,71
102;94;10/11/1999;0,34
103;279;08/09/1997;0,91
104;497;07/05/2021;0,65
105;91;13/12/2019;0,18
106;219;03/07/2022;0,52
107;102;07/12/2022;0,14
108;58;02/03/2022;0,84
109;29;24/05/2022;0,31
110;379;10/11/2009;0,60
111;294;23/11/2023;0,98
112;594;31/12/2023;0,32
113;614;16/03/2012;0,32
114;123;03/05/2000;0,77
115;450;02/03/2023;0,69
116;576;17/01/2015;0,50
117;370;17/02/2024;0,71
118;329;16/04/2019;0,05
119;549;13/04/2011;0,01
120;542;27/10/2019;0,96
121;387;05/12/2019;0,24
122;107;09/09/2002;0,49
123;157;16/04/2022;0,00
124;346;11/08/2012;0,04
125;475;26/05/2014;0,06
126;537;22/04/2019;0,75
127;520;25/02/2021;0,52
128;577;06/03/2022;0,92
129;207;26/09/2022;0,14
130;169;07/10/2011;0,62
131;280;02/06/2010;0,34
132;81;07/12/2022;0,69
133;148;19/01/2003;0,28
134;542;15/12/1998;0,57
135;133;27/04/2012;0,21
136;283;01/11/1998;0,04
137;200;05/09/2019;0,67
138;213;09/10/2014;0,99
139;437;06/06/2019;0,87
140;408;23/05/2023;0,01
141;307;24/12/2016;0,64
142;562;31/08/2008;0,75
143;578;15/12/2020;0,64
144;365;12/01/2023;0,11
145;311;31/07/2002;0,81
146;532;14/12/1998;0,17
147;185;19/10/2018;0,24
148;418;07/12/2018;0,30
149;153;01/03/2017;0,73
150;7;17/12/2021;0,78
151;557;12/11/2016;0,04
152;387;23/04/2007;0,94
153;376;02/02/2021;0,67
154;168;26/04/2015;0,74
155;589;22/05/2018;0,61
156;615;06/05/2004;0,59
157;559;31/12/2023;0,92
158;497;21/04/2018;0,53
159;604;15/06/2023;0,69
160;310;24/10/2015;0,27
161;426;20/01/2023;0,04
162;519;03/04/1996;0,39
163;71;15/02/2024;0,66
164;58;17/02/2019;0,55
165;621;18/10/2022;0,95
166;418;06/03/2013;0,29
167;371;01/05/2007;0,89
168;409;17/03/2008;0,31
169;32;03/08/2019;0,56
170;85;22/10/2015;0,22
171;305;06/09/2023;0,05
172;193;30/06/2018;0,77
173;423;12/05/2022;0,10
174;263;09/03/2023;0,37
175;504;19/09/2015;0,53
176;365;06/07/2021;0,51
177;450;03/06/2023;0,28
178;562;07/12/2016;0,08
179;461;31/07/1999;0,96
180;123;09/05/2017;0,36
181;532;17/08/2019;0,14
182;191;14/02/2016;0,94
183;570;26/04/2004;0,96
184;85;08/11/2006;0,47
185;260;14/11/2018;0,31
186;228;20/10/1990;0,44
187;567;20/02/2011;0,92
188;334;24/02/2012;0,16
189;476;08/03/2018;0,83
190;553;02/02/2018;0,16
191;347;16/11/2022;0,48
192;609;14/12/1995;0,42
193;105;13/10/2003;0,49
194;221;17/04/2007;0,10
195;299;20/01/2023;0,71
196;68;30/05/1999;0,56
197;214;18/04/2024;0,06
198;125;26/07/2023;0,40
199;89;07/03/2004;0,51
200;238;27/04/2023;0,95
201;220;05/05/2017;0,97
202;397;26/03/2019;0,81
203;315;01/01/2006;0,53
204;286;04/07/2009;0,61
205;492;02/03/2020;0,42
206;178;10/08/2018;0,47
207;301;29/12/2023;0,04
208;456;25/03/2020;0,37
209;523;07/07/2018;0,78
